X	Y	K	pH	P
1	24	26.0	7.2	5.5
1	25	22.0	7.2	5.2
1	26	18.0	6.8	2.6
1	27	19.0	6.4	1.3
1	28	26.0	6.1	1.3
1	29	23.0	6.6	6.9
1	30	32.0	7.8	6.6
1	31	28.0	8.0	7.8
2	19	55.0	6.8	2.6
2	23	19.0	6.0	1.0
2	24	18.0	5.6	0.6
2	25	17.0	5.5	0.5
2	26	15.0	5.7	0.4
2	27	16.0	5.6	0.5
2	28	19.0	6.4	0.5
2	29	15.0	6.7	0.7
2	30	24.0	7.9	7.5
2	31	14.0	8.2	6.6
3	1	28.0	8.2	4.2
3	2	26.0	8.2	7.5
3	3	23.0	8.2	5.1
3	4	21.0	8.2	4.0
3	5	22.0	8.0	5.3
3	6	22.0	8.3	4.8
3	7	24.0	8.3	4.8
3	8	41.0	8.2	4.0
3	9	30.0	7.8	4.6
3	10	20.0	7.7	2.6
3	11	22.0	7.6	14.5
3	18	22.0	6.8	3.4
3	19	26.0	8.0	9.5
3	23	16.0	7.2	2.7
3	24	18.0	6.9	2.5
3	25	15.0	7.3	2.2
3	26	16.0	6.9	1.0
3	27	15.0	7.0	1.2
3	28	16.0	7.4	1.0
3	29	14.0	7.4	1.3
3	30	20.0	8.0	6.0
3	31	15.0	8.2	8.4
3	12	70.0	7.8	12.4
3	13	20.0	7.6	3.9
3	14	22.0	7.5	2.0
4	2	24.0	8.2	6.7
4	3	23.0	8.3	6.9
4	4	20.0	8.4	4.5
4	5	24.0	8.3	3.7
4	6	20.0	8.5	4.6
4	7	20.0	8.4	3.8
4	8	34.0	8.2	2.4
4	10	18.0	7.4	1.5
4	11	18.0	7.7	3.5
4	12	21.0	8.0	5.7
4	13	18.0	8.4	1.6
4	14	22.0	8.0	2.4
4	15	28.0	6.6	1.6
4	16	25.0	7.7	1.8
4	17	28.0	7.2	1.7
4	18	24.0	7.6	4.6
4	19	23.0	7.6	5.5
4	23	16.0	7.2	2.5
4	24	18.0	7.2	1.7
4	25	17.0	7.6	3.5
4	26	16.0	7.4	2.1
4	27	19.0	7.6	3.6
4	28	21.0	7.4	4.0
4	29	13.0	7.7	2.9
4	30	15.0	8.0	3.8
4	31	15.0	8.2	6.2
5	4	24.0	8.3	4.6
5	5	23.0	8.4	4.2
5	6	22.0	8.3	3.0
5	7	25.0	8.4	5.7
5	9	19.0	6.6	0.8
5	10	20.0	6.2	1.3
5	11	19.0	7.2	3.0
5	12	20.0	8.0	4.2
5	13	16.0	8.2	2.6
5	14	16.0	7.8	2.0
5	15	20.0	7.7	3.5
5	16	28.0	7.8	1.3
5	17	21.0	8.0	1.4
5	18	28.0	7.9	6.6
5	19	24.0	7.8	5.2
5	23	18.0	7.4	3.5
5	24	15.0	7.6	3.1
5	25	14.0	7.4	3.0
5	26	15.0	7.4	3.6
5	27	19.0	7.4	4.6
5	28	20.0	7.9	3.5
5	29	15.0	8.2	3.5
5	30	14.0	8.1	4.5
5	31	16.0	8.2	6.3
6	5	28.0	8.3	4.6
6	6	22.0	8.4	3.2
6	7	26.0	8.3	2.9
6	8	27.0	8.0	1.8
6	9	19.0	7.4	1.2
6	10	19.0	7.1	1.6
6	11	15.0	6.6	1.4
6	12	19.0	7.7	3.8
6	13	18.0	8.2	3.7
6	14	20.0	7.9	4.4
6	15	19.0	8.0	4.8
